country,city,year,methodology,concentration_pm10,concentration_pm25,sea_salt,dust,traffic,industry,biomass_burn,other_source,latitude,longitude,population,study_year,iso3,region,continent,reference_author,site_typology,season
Mongolia,Ulaanbaatar,2005,PMF,,46.0,,10.86,,53.2,2.39,33.55,47.934,106.972,1190000.0,2011,MNG,Northern China,AS,Davy15,urban,year
Mongolia,Ulaanbaatar,2006,PMF,,46.0,,10.86,,53.2,2.39,33.55,47.934,106.972,1190000.0,2011,MNG,Northern China,AS,Davy15,urban,year
Mongolia,Ulaanbaatar,2007,PMF,,46.0,,10.86,,53.2,2.39,33.55,47.934,106.972,1190000.0,2011,MNG,Northern China,AS,Davy15,urban,year
Mongolia,Ulaanbaatar,2008,PMF,,46.0,,10.86,,53.2,2.39,33.55,47.934,106.972,1190000.0,2011,MNG,Northern China,AS,Davy15,urban,year
New Zeland,Wainuiomata,2006,PMF,,6.138,21.1,3.76,7.3,,47.8,20.040000000000006,-41.2681,174.9534,11079.0,2014,NZL,Oceania,OC,Davy60,urban,year
New Zeland,Wainuiomata,2007,PMF,,6.138,21.1,3.76,7.3,,47.8,20.040000000000006,-41.2681,174.9534,11079.0,2014,NZL,Oceania,OC,Davy60,urban,year
New Zeland,Wainuiomata,2008,PMF,,6.138,21.1,3.76,7.3,,47.8,20.040000000000006,-41.2681,174.9534,11079.0,2014,NZL,Oceania,OC,Davy60,urban,year
Pakistan,Karachi,2006,PMF,,79.42,,18.0,35.1,53.7,14.8,11.199999999999989,24.85,67.03,9339000.0,2012,PAK,Southern Asia,AF,Mansha38,urban,year
Pakistan,Karachi,2007,PMF,,79.42,,18.0,35.1,53.7,14.800000000000002,11.199999999999989,24.85,67.03,9339000.0,2012,PAK,Southern Asia,AF,Mansha38,urban,year
Pakistan,Karachi,2008,PMF,,79.42,,18.0,35.1,53.7,14.800000000000002,11.199999999999989,24.85,67.03,9339000.0,2012,PAK,Southern Asia,AF,Mansha38,urban,year
